"","AWS","Azure","Google Cloud"
"Big data processing","Amazon EMR, AWS Glue","Azure Data Lake Analytics, Azure HDInsight","Dataproc"
"Business analytics","Amazon QuickSight, Amazon FinSpace","Power BI, Microsoft Graph Data Connect, Azure Synapse Analytics","Looker"
"Data exploration and metadata management","Amazon Athena, AWS Glue Data Catalog","Azure Data Explorer, Azure Data Catalog","Dataplex"
"Data lake creation","AWS Lake Formation","Azure Data Lake Storage Gen2","Cloud Storage"
"Data share and exchange","AWS Data Exchange, AWS Lake Formation, Amazon Managed Blockchain (AMB)","Azure Data Share","Analytics Hub, Datashare"
"Data streaming","Amazon Kinesis Data Analytics, Amazon Data Firehose, Amazon Kinesis Data Streams","Azure Stream Analytics","Dataflow, Pub/Sub, Datastream"
"Data warehousing","Amazon Redshift","Azure Synapse Analytics, Azure Databricks","BigQuery"
"Data wrangling","AWS Glue DataBrew, Amazon SageMaker Data Wrangler","Azure Data Factory","Google Cloud Dataprep by Trifacta in BigQuery"
"Extract, transform and load (ETL)","AWS Glue, AWS Data Pipeline","Azure Data Factory, Azure Synapse Analytics","Cloud Data Fusion, Dataflow, Dataproc"
"Hosted Hadoop/Spark","Amazon EMR","Azure HDInsight","Dataproc"
"Managed Kafka","Amazon Managed Streaming for Apache Kafka (MSK)","Azure Event Hubs for Apache Kafka","Confluent Cloud"
"Managed search","Amazon CloudSearch, Amazon OpenSearch Service, Amazon Kendra","Azure AI Search, Bing Web Search API","Cloud Search"
"Query service","Amazon Athena, Amazon Managed Grafana, Amazon Redshift","Azure Data Lake Analytics, Azure Synapse Analytics","BigQuery"
