"","AWS","Azure","Google Cloud"
"Autoscaling","AWS Auto Scaling, Amazon Elastic Compute Cloud (EC2) Auto Scaling","Autoscale in Azure Monitor, Azure Virtual Machine Scale Sets","Compute Engine managed instance groups (MIGs)"
"Batch scheduling, executing and processing","AWS Batch","Azure Batch","Batch"
"Extended infrastructure","AWS Outposts","Azure Stack","Google Distributed Cloud"
"Functions as a service, serverless computing","AWS Lambda","Azure Functions","Cloud Run functions"
"High-performance computing management","AWS ParallelCluster","Azure CycleCloud, Azure FXT Edge Filer","Cluster Toolkit"
"Isolated servers","Amazon EC2 Dedicated Hosts","Azure Dedicated Host","Sole-tenant nodes in Compute Engine"
"PaaS","AWS Elastic Beanstalk, Amazon Lightsail","Azure App Service","App Engine"
"Quantum computing","Amazon Braket","Azure Quantum","N/A"
"VMs","Amazon EC2","Azure Virtual Machines","Compute Engine"
"VM image builder","EC2 Image Builder","Azure VM Image Builder","Packer integration in Compute Engine"
"VMware integration","VMware Cloud on AWS","Azure VMware Solution","Google Cloud VMware Engine"
