"","AWS","Azure","Google Cloud"
"Anomaly detection","Amazon CloudWatch anomaly detection, Amazon Lookout for Metrics","AI Anomaly Detector","Apigee anomaly detection"
"Application and data management","AWS Service Catalog","Azure Managed Applications, Azure Blueprints, Microsoft Purview","Dataplex, Service Catalog, Service Directory"
"Automation","AWS CloudFormation, AWS Proton, AWS OpsWorks","Azure Resource Manager, Azure Automation, Bicep, Azure VM extensions","Cloud Deployment Manager, Cloud Foundation Toolkit, Cloud Scheduler, VM Manager"
"Configuration management","AWS Config","Azure App Configuration","Cloud Asset Inventory"
"General monitoring","Amazon CloudWatch","Azure Monitor","Cloud Monitoring"
"Health service and dashboard","AWS Health","Azure Resource Health, Azure Service Health","Cloud Monitoring"
"Hybrid and multi-cloud management","AWS Outposts, VMware Cloud on AWS, Amazon ECS Anywhere, Amazon EKS Anywhere","Azure Arc, Azure Stack","Google Distributed Cloud"
"License management","AWS License Manager","N/A","N/A"
"Logging","Amazon CloudWatch Logs, AWS CloudTrail","Azure Monitor Logs, Azure Monitor Log Analytics","Cloud Logging, Cloud Audit Logs"
"Management console","AWS Management Console","Azure Portal","Google Cloud console"
"Multi-account management","AWS Control Tower, AWS Organizations","Azure Management Groups, Azure Lighthouse","Resource Manager"
"Network monitoring","AWS Network Manager","Azure Network Watcher","Network Intelligence Center"
"Policy management","AWS Organizations","Azure Policy","Organization Policy Service"
