"","AWS","Azure","Google Cloud"
"5G-based infrastructure","AWS Wavelength, AWS Private 5G","Azure private multi-access edge compute (MEC), Azure Private 5G Core","N/A"
"Build, deploy and manage APIs","Amazon API Gateway","Azure API Management","Apigee API Management"
"Content delivery network (CDN)","Amazon CloudFront","Azure Front Door","Cloud CDN, Media CDN"
"Dedicated network connection","AWS Direct Connect","Azure ExpressRoute","Cloud Interconnect"
"Domain name system (DNS)","Amazon Route 53","Azure DNS","Cloud DNS"
"Load balancing","Elastic Load Balancing (ELB)","Azure Application Gateway, Azure Load Balancer, Azure Traffic Manager","Cloud Load Balancing"
"Network accelerator","AWS Global Accelerator","Azure Front Door","Premium Network Service Tier"
"Network address translation (NAT)","Amazon VPC NAT gateways","Azure NAT Gateway","Cloud NAT"
"Peering","Amazon Virtual Private Cloud (VPC) peering","Azure Virtual Network peering","VPC Network Peering"
"Private network connector","AWS PrivateLink","Azure Private Link","Private Service Connect"
"Service discovery","AWS Cloud Map, Amazon VPC Lattice","N/A","Service Directory"
"Traffic control plane","AWS App Mesh","Azure Service Fabric","Cloud Service Mesh"
"Virtual WAN","AWS Cloud WAN","Azure Virtual WAN","Network Connectivity Center"
"Virtual private cloud (VPC)","Amazon VPC, AWS Transit Gateway","Azure Virtual Network","Virtual Private Cloud (VPC)"
"VPN","AWS VPN, AWS Client VPN","Azure VPN Gateway","Cloud VPN"
